id,state.abbrev,station,city,county,zipcode,latitude,longitude
7187,OH,UNION CITY POLICE DEPT,Union City,Hudson County,07087,40.773981,-74.024932
7188,OH,UNION CTY SHERIFF DEPT,Monroe,Union County,28112,34.977818,-80.465534
7189,OH,UNION POLICE DEPT,Union,Union County,07083,40.696996,-74.277099
7190,OH,UNION TWP2 POLICE DEPT,Cincinnati,Clermont County,45245,39.087692,-84.269033
7191,OH,UNIONTOWN POLICE DEPT,Uniontown,Fayette County,15401,39.902485,-79.723449
7192,OH,UNIV CIRCLE POLICE DEPT,Cleveland,Cuyahoga County,44106,41.512780,-81.599214
7193,OH,UNIV CIRCLE POLICE DEPT HI_ED,Cleveland,Cuyahoga County,44106,41.512780,-81.599214
7194,OH,UNIV OF AKRON POLICE DEPT,Akron,Summit County,44325,41.079008,-81.514475
7195,OH,UNIV OF AKRON POLICE DEPT HI_ED,Akron,Summit County,44325,41.079008,-81.514475
7196,OH,UNIV OF CINCINNATI POLICE DEPT,Cincinnati,Hamilton County,45221,39.128978,-84.512930
7197,OH,UNIV OF CINCINNATI POLICE HI_ED,Cincinnati,Hamilton County,45221,39.128978,-84.512930
7198,OH,UNIVERSITY HEIGHTS POLICE DEPT,Cleveland,Cuyahoga County,44118,41.497066,-81.536758
7199,OH,UPPER ARLINGTON POLICE,Columbus,Franklin County,43221,40.031193,-83.050922
7200,OH,UPPER ARLINGTON POLICE DIVISION,Columbus,Franklin County,43221,40.031193,-83.050922
7201,OH,UPPER SANDUSKY POLICE DEPT,Upper Sandusky,Wyandot County,43351,40.827793,-83.282970
7202,OH,US DHS ICE,Philadelphia,Philadelphia County,19106,39.948420,-75.144471
7203,OH,US WOOSTER MEDWAY OHIO,Wooster,Wayne County,44691,40.799452,-81.942470
7204,OH,US DOJ FBI CINCINNATI DIVISION,Cincinnati,Hamilton County,45236,39.199810,-84.372135
7205,OH,US FBI CLEVELAND,Cleveland,Cuyahoga County,44114,41.508863,-81.686543
7206,OH,US MARSHAL SVC COLUMBUS,Columbus,Franklin County,43215,39.963874,-83.005219
7207,OH,USDA FOREST SERVICE LEI NELSONVILLE,,,,,
7208,OH,UTICA POLICE DEPT,Utica,Oneida County,13502,43.104027,-75.233420
7209,OH,VERMILION POLICE DEPT,Vermilion,Erie County,44089,41.421784,-82.369255
7210,OH,VILLAGE OF BETHEL POLICE DEPT,Bethel,Clermont County,45106,38.964191,-84.080662
7211,OH,VINTON CTY SHERIFF DEPT,McArthur,Vinton County,45651,39.246408,-82.478827
7212,OH,WAITE HILL POLICE DEPT,Willoughby,Lake County,44094,41.604702,-81.384891
7213,OH,WAITE HILL VILLAGE POLICE DEPT,Willoughby,Lake County,44094,41.604702,-81.384891
7214,OH,WALBRIDGE POLICE DEPT,Walbridge,Wood County,43465,41.594080,-83.494455
7215,OH,WALTON HILLS POLICE DEPT,Walton Hills,Cuyahoga County,44146,41.358691,-81.545127
7216,OH,WAPAKONETA POLICE DEPT,Wapakoneta,Auglaize County,45895,40.577852,-84.202876
7217,OH,WARREN CITY POLICE DEPT,Warren,Trumbull County,44483,41.234621,-80.816971
7218,OH,WARREN CTY SHERIFF'S OFFICE,Front Royal,Warren County,22630,38.907745,-78.204969
7219,OH,WARREN TWP POLICE DEPT,Warren,Somerset County,07059,40.618099,-74.490739
7220,OH,WARRENSVILLE HEIGHTS FIRE INV,Cleveland,Cuyahoga County,44128,41.442005,-81.535299
7221,OH,WARRENSVILLE HEIGHTS POLICE DEPT,Cleveland,Cuyahoga County,44128,41.442005,-81.535299
7222,OH,WASHINGTON COUNTY SHERIFFS OFFICE,Hillsboro,Washington County,97123,45.520926,-122.992011
7223,OH,WASHINGTON CTY SHERIFF OFFICE,Beaverton,Washington County,97005,45.493353,-122.825501
7224,OH,WASHINGTON TWP PD (TOLEDO),Toledo,Lucas County,43612,41.721273,-83.526330
7225,OH,WASHINGTON TWP PD LEWISTOWN,Lewistown,Logan County,43333,40.420444,-83.882299
7226,OH,WASHINGTON TWP PD TOLEDO,Toledo,Lucas County,43612,41.721273,-83.526330
7227,OH,WASHINGTONVILLE POLICE DEPT,Washingtonville,Orange County,10992,41.428164,-74.164396
7228,OH,WATERVILLE POLICE DEPT,Waterville,Kennebec County,04901,44.557083,-69.628319
7229,OH,WAUSEON POLICE DEPT,Wauseon,Fulton County,43567,41.549600,-84.142669
7230,OH,WAVERLY POLICE DEPT,Waverly,Tioga County,14892,42.007763,-76.529246
7231,OH,WAYNE COUNTY SHERIFFS OFFICE,Detroit,Wayne County,48201,42.355180,-83.063745
7232,OH,WAYNE CTY SHERIFF DEPT,Wooster,Wayne County,44691,40.799452,-81.942470
7233,OH,WAYNESFIELD POLICE DEPT,Waynesfield,Auglaize County,45896,40.601731,-83.976662
7234,OH,WAYNESVILLE POLICE DEPT,Waynesville,Haywood County,28786,35.489492,-82.987809
7235,OH,WELLS TWP POLICE DEPT,Brilliant,Jefferson County,43913,40.264792,-80.626186
7236,OH,WELLSVILLE POLICE DEPT,Wellsville,Columbiana County,43968,40.600742,-80.651724
7237,OH,WEST CARROLLTON POLICE DEPT,West Carrollton,Montgomery County,45449,39.672433,-84.248706
7238,OH,WEST FARMINGTON POLICE DEPT,West Farmington,Trumbull County,44491,41.392721,-80.975305
7239,OH,WEST JEFFERSON POLICE DEPT,West Jefferson,Madison County,43162,39.945107,-83.268185
7240,OH,WEST LIBERTY POLICE DEPT,West Liberty,Muscatine County,52776,41.571256,-91.263763
7241,OH,WESTERVILLE POLICE DEPT,Westerville,Franklin County,43081,40.125198,-82.931734
7242,OH,WHITEHALL POLICE DEPT,Whitehall,Franklin County,43213,39.968342,-82.885617
7243,OH,WHITEHOUSE POLICE DEPT,Whitehouse,Smith County,75791,32.227424,-95.221243
7244,OH,WICKLIFFE POLICE DEPT,Wickliffe,Lake County,44092,41.595613,-81.476642
7245,OH,WILLARD POLICE DEPT,Willard,Greene County,65781,37.284376,-93.402803
7246,OH,WILLIAMS CO SHERIFF DEPT,Williston,Williams County,58801,48.147153,-103.617880
7247,OH,WILLIAMSBURG POLICE DEPT,Williamsburg,,23185,37.275315,-76.708728
7248,OH,WILLOUGHBY POLICE DEPT,Willoughby,Lake County,44094,41.627624,-81.424565
7249,OH,WINTERSVILLE POLICE DEPT,Wintersville,Jefferson County,43953,40.376457,-80.699891
7250,OH,WOOD COUNTY SHERIFFS OFFICE,Bowling Green,Wood County,43402,41.355019,-83.612007
7251,OH,WOOD CTY SHERIFF DEPT,Bowling Green,Wood County,43402,41.355019,-83.612007
7252,OH,WOODLAWN POLICE DEPT,Woodlawn,Baltimore County,21207,39.323127,-76.727407
7253,OH,WORTHINGTON  POLICE DEPT,Worthington,Franklin County,43085,40.097782,-83.016205
7254,OH,WYANDOT CTY SHERIFF DEPT,Upper Sandusky,Wyandot County,43351,40.827119,-83.280177
7255,OH,WYOMING POLICE DEPT,Wyoming,Kent County,49509,42.923129,-85.696581
7256,OH,YORKVILLE POLICE DEPT,Yorkville,Kendall County,60560,41.651429,-88.450877
7257,OH,YOUNGSTOWN POLICE DEPT,Youngstown,Mahoning County,44503,41.100078,-80.651604
7258,OH,YOUNGSTOWN STATE UNIV PD,Youngstown,Mahoning County,44555,41.106260,-80.647700
7259,OH,YOUNGSTOWN STATE UNIV PD HI_ED,Youngstown,Mahoning County,44555,41.106260,-80.647700
7260,OH,YOUNGSTOWN STATE UNIV POLICE ACAD,Youngstown,Mahoning County,44555,41.106260,-80.647700
7261,OK,ACHILLE POLICE DEPT,Achille,Bryan County,74720,33.833700,-96.387700
7262,OK,ADA POLICE DEPT,Ada,Pontotoc County,74820,34.772620,-96.680618
7263,OK,ADAIR CTY SHERIFF OFFICE,Kirksville,Adair County,63501,40.195673,-92.583183
7264,OK,ALLEN POLICE DEPT,Allen,Collin County,75013,33.101220,-96.672929
7265,OK,ALTUS POLICE DEPT,Altus,Jackson County,73521,34.632985,-99.334752
7266,OK,APACHE POLICE DEPT,Apache Junction,Pinal County,85119,33.422799,-111.544324
7267,OK,ARNETT POLICE DEPT,Arnett,Ellis County,73832,36.134854,-99.768085
7268,OK,AVANT POLICE DEPT,Avant,Osage County,74001,36.488358,-96.060592
7269,OK,BARTLESVILLE POLICE DEPT,Bartlesville,Washington County,74003,36.753595,-95.976442
7270,OK,BECKHAM CCO SHERIFF DEPT,Sayre,Beckham County,73662,35.290602,-99.636704
7271,OK,BENNINGTON POLICE DEPT,Bennington,Bennington County,05201,42.877512,-73.196892
7272,OK,BERNICE POLICE DEPT,Bernice,Union Parish,71222,32.820954,-92.656057
7273,OK,BETHANY POLICE DEPT,Bethany,Oklahoma County,73008,35.507298,-97.630994
7274,OK,BIXBY POLICE DEPT,Bixby,Tulsa County,74008,35.943000,-95.885137
7275,OK,BLANCHARD POLICE DEPT,Blanchard,McClain County,73010,35.136962,-97.659189
7276,OK,BOKOSHE POLICE DEPT,Bokoshe,Le Flore County,74930,35.186527,-94.790605
7277,OK,BRAGGS POLICE DEPT,Braggs,Muskogee County,74423,35.663396,-95.198030
7278,OK,BRISTOW POLICE DEPT,Bristow,Creek County,74010,35.833613,-96.391329
7279,OK,BROKEN ARROW POLICE DEPT,Broken Arrow,Tulsa County,74012,36.062896,-95.781388
7280,OK,BRYAN CTY SHERIFF DEPT,Pembroke,Bryan County,31321,32.134543,-81.618493
7281,OK,CACHE POLICE DEPT,Cache,Comanche County,73527,34.628447,-98.628309
7282,OK,CADDO CTY SHERIFF DEPT,Anadarko,Caddo County,73005,35.074335,-98.245906
7283,OK,CALVIN POLICE DEPT,Calvin,Hughes County,74531,34.966990,-96.250417
7284,OK,CANADIAN CTY SHERIFF DEPT,El Reno,Canadian County,73036,35.535104,-97.955403
7285,OK,CARL ALBERT CAMPUS POLICE HI_ED,,,,,
7286,OK,CARNEGIE POLICE DEPT,Carnegie,Allegheny County,15106,40.404374,-80.092410
