id,state.abbrev,station,city,county,zipcode,latitude,longitude
4966,MO,INDEPENDENCE POLICE DEPT,,,,,
4967,MO,INDIAN POINT POLICE DEPT,,,,,
4968,MO,IRON COUNTY SHERIFF DEPT,,,,,
4969,MO,IRON COUNTY SHERIFF OFFICE,,,,,
4970,MO,IRON MOUNTAIN LAKE POLICE DEPT,,,,,
4971,MO,IRONTON POLICE DEPT,,,,,
4972,MO,JACKSON COUNTY SHERIFF DEPT,,,,,
4973,MO,JACKSON COUNTY SHERIFF OFFICE,,,,,
4974,MO,JAMESTOWN POLICE DEPT,,,,,
4975,MO,JASPER COUNTY SHERIFF DEPT,,,,,
4976,MO,JASPER COUNTY SHERIFFS OFFICE,,,,,
4977,MO,JEFFERSON CITY POLICE DEPT,,,,,
4978,MO,JEFFERSON COLLEGE POLICE DEPT,,,,,
4979,MO,JEFFERSON COLLEGE POLICE HI_ED,,,,,
4980,MO,JEFFERSON COMM COLLEGE POLICE HI_ED,,,,,
4981,MO,JEFFERSON COUNTY SHERIFF DEPT,,,,,
4982,MO,JEFFERSON COUNTY SHERIFFS OFFICE,,,,,
4983,MO,JOHNSON COUNTY SHERIFF DEPT,,,,,
4984,MO,JOHNSON COUNTY SHERIFF OFFICE,,,,,
4985,MO,JOHNSON COUNTY SHERIFFS OFFICE,,,,,
4986,MO,JOPLIN POLICE DEPT,,,,,
4987,MO,KANSAS CITY POLICE DEPT,,,,,
4988,MO,KEARNEY POLICE DEPT,,,,,
4989,MO,KENNETT POLICE DEPT,,,,,
4990,MO,KIMBERLING CITY POLICE DEPT,,,,,
4991,MO,KIRKWOOD POLICE DEPARTMENT,,,,,
4992,MO,KIRKWOOD POLICE DEPT,,,,,
4993,MO,KNOB NOSTER POLICE DEPT,,,,,
4994,MO,KNOBNOSTER POLICE DEPT,,,,,
4995,MO,KNOX COUNTY SHERIFF DEPT,,,,,
4996,MO,LA PLATA POLICE DEPT,,,,,
4997,MO,LACLEDE COUNTY SHERIFF OFFICE,,,,,
4998,MO,LADDONIA POLICE DEPARTMENT,,,,,
4999,MO,LADDONIA POLICE DEPT,,,,,
5000,MO,LAKE OZARK POLICE DEPT,,,,,
5001,MO,LAKE WINNEBAGO POLICE DEPT,,,,,
5002,MO,LAMAR POLICE DEPT,,,,,
5003,MO,LANAGAN POLICE DEPT,,,,,
5004,MO,LAURIE POLICE DEPARTMENT,,,,,
5005,MO,LAWRENCE COUNTY SHERIFF DEPT,,,,,
5006,MO,LAWRENCE COUNTY SHERIFFS OFFICE,,,,,
5007,MO,LEADWOOD POLICE DEPT,,,,,
5008,MO,LEASBURG POLICE DEPT,,,,,
5009,MO,LEWIS COUNTY SHERIFF OFFICE,,,,,
5010,MO,LEXINGTON POLICE DEPT,,,,,
5011,MO,LIBERAL POLICE DEPT,,,,,
5012,MO,LILBOURN POLICE DEPT,,,,,
5013,MO,LINCOLN COUNTY SHERIFF DEPT,,,,,
5014,MO,LINCOLN COUNTY SHERIFFS OFFICE,,,,,
5015,MO,LINCOLN UNIVERSITY POLICE,,,,,
5016,MO,LINCOLN UNIVERSITY POLICE HI_ED,,,,,
5017,MO,LINN CREEK POLICE DEPT,,,,,
5018,MO,LINN POLICE DEPT,,,,,
5019,MO,LONE JACK POLICE DEPT,,,,,
5020,MO,MACON COUNTY SHERIFF DEPT,,,,,
5021,MO,MACON COUNTY SHERIFFS OFFICE,,,,,
5022,MO,MADISON COUNTY SHERIFF DEPT,,,,,
5023,MO,MALDEN POLICE DEPT,,,,,
5024,MO,MARBLE HILL POLICE DEPT,,,,,
5025,MO,MARCELINE POLICE DEPT,,,,,
5026,MO,MARIES COUNTY SHERIFF DEPT,,,,,
5027,MO,MARIES COUNTY SHERIFFS OFFICE,,,,,
5028,MO,MARSHALL POLICE DEPT,,,,,
5029,MO,MARSTON POLICE DEPT,,,,,
5030,MO,MARTHASVILLE POLICE DEPT,,,,,
5031,MO,MCDONALD COUNTY SHERIFF DEPT,,,,,
5032,MO,MCDONALD COUNTY SHERIFFS OFFICE,,,,,
5033,MO,MERRIAM WOODS POLICE DEPT,,,,,
5034,MO,MEXICO DEPARTMENT OF PUBLIC SAFETY,,,,,
5035,MO,MID MO DRUG TASK FORCE,,,,,
5036,MO,MILLER COUNTY SHERIFF DEPT,,,,,
5037,MO,MILLER COUNTY SHERIFFS OFFICE,,,,,
5038,MO,MILLER POLICE DEPT,,,,,
5039,MO,MIRAMIGUOA VILLAGE POLICE DEPT,,,,,
5040,MO,MISSISSIPPI COUNTY SHERIFF DEPT,,,,,
5041,MO,MISSOURI CAPITAL POLICE,,,,,
5042,MO,MO DEPT OF PUBLIC SAFETY,,,,,
5043,MO,MO SOUTHEAST DTF,,,,,
5044,MO,MO STATE HIGHWAY PATROL,,,,,
5045,MO,MOBERLY POLICE DEPT,,,,,
5046,MO,MOLINE ACRES POLICE DEPT,,,,,
5047,MO,MONITEAU COUNTY SHERIFF DEPT,,,,,
5048,MO,MONTGOMERY COUNTY SHERIFF DEPT,,,,,
5049,MO,MONTGOMERY COUNTY SHERIFFS OFFICE,,,,,
5050,MO,MORGAN COUNTY SHERIFF OFFICE,,,,,
5051,MO,MORGAN COUNTY SHERIFFS OFFICE,,,,,
5052,MO,MOSCOW MILLS POLICE DEPT,,,,,
5053,MO,MOUNT VERNON POLICE DEPT,,,,,
5054,MO,MOUNTAIN GROVE POLICE DEPT,,,,,
5055,MO,MOUNTAIN VIEW POLICE DEPT,,,,,
5056,MO,MUSTANG DTF,,,,,
5057,MO,NEOSHO POLICE DEPT,,,,,
5058,MO,NEW BLOOMFIELD POLICE DEPT,,,,,
5059,MO,NEW FRANKLIN POLICE DEPT,,,,,
5060,MO,NEW LONDON POLICE DEPT,,,,,
5061,MO,NEW MADRID COUNTY R-1 CAMPUS POLICE,,,,,
5062,MO,NEW MADRID COUNTY SHERIFF DEPT,,,,,
5063,MO,NEW MADRID COUNTY SHERIFFS DEPT,,,,,
5064,MO,NEW MADRID CTY R-1  POLICE K-12,,,,,
5065,MO,NEW MADRID POLICE DEPT,,,,,
5066,MO,NEW MELLE POLICE DEPT,,,,,
5067,MO,NEWBURG POLICE DEPT,,,,,
5068,MO,NEWTON COUNTY SHERIFF DEPT,,,,,
5069,MO,NEWTON COUNTY SHERIFF OFFICE,,,,,
5070,MO,NIANGUA POLICE DEPT,,,,,
5071,MO,NIXA POLICE DEPT,,,,,
5072,MO,NOEL MARSHAL'S OFFICE,,,,,
5073,MO,NOEL MARSHALS OFFICE,,,,,
5074,MO,NORMANDY POLICE DEPT,,,,,
5075,MO,NORTH MO DTF,,,,,
5076,MO,NORTHWOODS POLICE DEPT,,,,,
5077,MO,OAKVIEW POLICE DEPT,,,,,
5078,MO,OFALLON POLICE DEPARTMENT,,,,,
5079,MO,OREGON COUNTY SHERIFF DEPT,,,,,
5080,MO,OREGON COUNTY SHERIFF OFFICE,,,,,
5081,MO,ORONOGO POLICE DEPARTMENT,,,,,
5082,MO,ORONOGO POLICE DEPT,,,,,
5083,MO,ORRICK POLICE DEPT,,,,,
